"filename", "language", "C#", "UnityShader", "JSON", "Objective-C++", "XML", "comment", "blank", "total"
"d:\Unity\WildFire\Assets\Console.cs", "C#", -20, 0, 0, 0, 0, -1, -4, -25
"d:\Unity\WildFire\Assets\LetterBoxer\Editor\LetterBoxerEditor.cs", "C#", -52, 0, 0, 0, 0, 0, -10, -62
"d:\Unity\WildFire\Assets\LetterBoxer\LetterBoxer.cs", "C#", -90, 0, 0, 0, 0, -12, -23, -125
"d:\Unity\WildFire\Assets\Plugins\Demigiant\DOTween\DOTween.XML", "XML", 0, 0, 0, 0, -3077, 0, -1, -3078
"d:\Unity\WildFire\Assets\Plugins\Demigiant\DOTween\Editor\DOTweenEditor.XML", "XML", 0, 0, 0, 0, -144, 0, -1, -145
"d:\Unity\WildFire\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleAudio.cs", "C#", -94, 0, 0, 0, 0, -80, -25, -199
"d:\Unity\WildFire\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleEPOOutline.cs", "C#", -109, 0, 0, 0, 0, -18, -20, -147
"d:\Unity\WildFire\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModulePhysics.cs", "C#", -137, 0, 0, 0, 0, -60, -20, -217
"d:\Unity\WildFire\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModulePhysics2D.cs", "C#", -125, 0, 0, 0, 0, -51, -18, -194
"d:\Unity\WildFire\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleSprite.cs", "C#", -63, 0, 0, 0, 0, -17, -14, -94
"d:\Unity\WildFire\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleUI.cs", "C#", -390, 0, 0, 0, 0, -203, -70, -663
"d:\Unity\WildFire\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleUnityVersion.cs", "C#", -254, 0, 0, 0, 0, -99, -37, -390
"d:\Unity\WildFire\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleUtils.cs", "C#", -123, 0, 0, 0, 0, -27, -18, -168
"d:\Unity\WildFire\Assets\Plugins\FMOD\FMODUnity.asmdef", "JSON", 0, 0, -44, 0, 0, 0, -1, -45
"d:\Unity\WildFire\Assets\Plugins\FMOD\addons\ResonanceAudio\Editor\FMODUnityResonanceEditor.asmdef", "JSON", 0, 0, -17, 0, 0, 0, 0, -17
"d:\Unity\WildFire\Assets\Plugins\FMOD\addons\ResonanceAudio\Editor\FmodResonanceAudioRoomEditor.cs", "C#", -89, 0, 0, 0, 0, -18, -16, -123
"d:\Unity\WildFire\Assets\Plugins\FMOD\addons\ResonanceAudio\Scripts\FMODUnityResonance.asmdef", "JSON", 0, 0, -15, 0, 0, 0, 0, -15
"d:\Unity\WildFire\Assets\Plugins\FMOD\addons\ResonanceAudio\Scripts\FmodResonanceAudio.cs", "C#", -197, 0, 0, 0, 0, -62, -32, -291
"d:\Unity\WildFire\Assets\Plugins\FMOD\addons\ResonanceAudio\Scripts\FmodResonanceAudioRoom.cs", "C#", -76, 0, 0, 0, 0, -28, -18, -122
"d:\Unity\WildFire\Assets\Plugins\FMOD\platform_ios.mm", "Objective-C++", 0, 0, 0, -102, 0, -14, -13, -129
"d:\Unity\WildFire\Assets\Plugins\FMOD\platforms\android\src\PlatformAndroid.cs", "C#", -106, 0, 0, 0, 0, -3, -19, -128
"d:\Unity\WildFire\Assets\Plugins\FMOD\platforms\html5\src\PlatformWebGL.cs", "C#", -103, 0, 0, 0, 0, 0, -17, -120
"d:\Unity\WildFire\Assets\Plugins\FMOD\platforms\ios\src\PlatformIOS.cs", "C#", -105, 0, 0, 0, 0, 0, -20, -125
