Date : 2024-12-11 18:55:50
Directory : d:\Unity\WildFire\Assets\Scripts
Total : 95 files,  10869 codes, 148 comments, 2391 blanks, all 13408 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |         95 |     10,869 |        148 |      2,391 |     13,408 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                           |         95 |     10,869 |        148 |      2,391 |     13,408 |
| . (Files)                                                                   |         21 |      3,166 |         54 |        715 |      3,935 |
| Casino                                                                      |          4 |        358 |          5 |        105 |        468 |
| CoreGame                                                                    |          4 |      1,302 |         22 |        328 |      1,652 |
| Effects                                                                     |          7 |      2,475 |          6 |        379 |      2,860 |
| Enemies                                                                     |         31 |      1,711 |         18 |        435 |      2,164 |
| ExtraAugments                                                               |         19 |        800 |          3 |        177 |        980 |
| ExtraAugments (Files)                                                       |         17 |        729 |          3 |        158 |        890 |
| ExtraAugments\CandleTurrets                                                 |          2 |         71 |          0 |         19 |         90 |
| ExtraGame                                                                   |          2 |         31 |          0 |          5 |         36 |
| Items                                                                       |          1 |         75 |          0 |         23 |         98 |
| NPCs                                                                        |          6 |        951 |         40 |        224 |      1,215 |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                    | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\Unity\WildFire\Assets\Scripts\AudioManager.cs                            | C#       |         40 |          0 |          7 |         47 |
| d:\Unity\WildFire\Assets\Scripts\Augment.cs                                 | C#       |         56 |          0 |         14 |         70 |
| d:\Unity\WildFire\Assets\Scripts\AutoDestroy.cs                             | C#       |         26 |          0 |          3 |         29 |
| d:\Unity\WildFire\Assets\Scripts\Casino\Mines.cs                            | C#       |        173 |          5 |         39 |        217 |
| d:\Unity\WildFire\Assets\Scripts\Casino\Nut.cs                              | C#       |         18 |          0 |          3 |         21 |
| d:\Unity\WildFire\Assets\Scripts\Casino\Plinko.cs                           | C#       |        150 |          0 |         60 |        210 |
| d:\Unity\WildFire\Assets\Scripts\Casino\PlinkoDetector.cs                   | C#       |         17 |          0 |          3 |         20 |
| d:\Unity\WildFire\Assets\Scripts\Character.cs                               | C#       |        563 |         32 |         47 |        642 |
| d:\Unity\WildFire\Assets\Scripts\Chat.cs                                    | C#       |        122 |          1 |         28 |        151 |
| d:\Unity\WildFire\Assets\Scripts\CoreGame\DeckBuilder.cs                    | C#       |        391 |          0 |        114 |        505 |
| d:\Unity\WildFire\Assets\Scripts\CoreGame\EnemySpawner.cs                   | C#       |        284 |          5 |         85 |        374 |
| d:\Unity\WildFire\Assets\Scripts\CoreGame\LocalBestiary.cs                  | C#       |        393 |         15 |         76 |        484 |
| d:\Unity\WildFire\Assets\Scripts\CoreGame\NPC.cs                            | C#       |        234 |          2 |         53 |        289 |
| d:\Unity\WildFire\Assets\Scripts\DamageUI.cs                                | C#       |         68 |          0 |         12 |         80 |
