English;Português;简体中文;繁體中文
#=========================== MENU ===========================#;;;
Play;Jogar;开始游戏;開始遊戲
Menu;Menu;菜单;菜單
Master;Geral;主设置;主設置
Music;Música;音乐;音樂
SFX;SFX;音效;音效
Volume;Volume;音量;音量
Language;Linguagem;语言;語言
Close;Fechar;关闭;關閉
QUESTS;MISSÕES;任务;任務
Upgrades;Melhorias;升级;升級
Upgrade ({0});Melhorar ({0});升级 ({0});升級 ({0})
Maxed Out;Limite Atingido;已满级;已滿級
???;???;???;???
Reset;Limpar;重置;重設
No;Não;否;否
Yes;Sim;是;是
Error;Erro;错误;錯誤
Keep Playing;Continuar;继续游戏;繼續遊戲
CONGRATS!;PARABÉNS!;恭喜！;恭喜！
Return to Campsite;Voltar ao Acampamento;返回营地;返回營地
YOU'VE SURVIVED UNTIL MORNING<br><color=#999999><size=10>(From this point on, animals will become infinitely stronger)</size></color>;SOBREVIVESTE ATÉ DE MANHÃ<br><color=#999999><size=10>(A partir deste ponto, os animais tornar-se-ão infinitamente mais fortes)</size></color>;你已存活到天亮！<br><color=#999999><size=10>（从此刻起，动物会无限变强）</size></color>;你已存活到天亮！<br><color=#999999><size=10>（從此刻起，動物會無限變強）</size></color>
END NIGHT;ACABAR A NOITE;结束夜晚;結束夜晚
Settings;Definições;设置;設置
Effects;Efeitos;效果;效果
Characters;Personagens;角色;角色
Bestiary;Bestiário;图鉴;圖鑑
Augments;Aumentos;强化;強化
KEEP PLAYING;CONTINUAR;继续游戏;繼續遊戲
END THE NIGHT?<br><color=#999999><size=8>You will keep all the Embers and Milestones collected</size></color>;ACABAR A NOITE?<br><color=#999999><size=8>Irás manter todas as brasas e marcos alcançados</size></color>;结束今晚？<br><color=#999999><size=8>你将保留所有收集到的余烬和里程碑</size></color>;結束今晚？<br><color=#999999><size=8>你將保留所有收集到的餘燼和里程碑</size></color>
Enemies killed;Inimigos mortos;已击杀敌人;已擊殺敵人
Fireballs shot;Bolas de fogo disparadas;已发射火球;已發射火球
Damage given;Dado infligido;造成伤害;造成傷害
Damage taken;Dano tomado;承受伤害;承受傷害
Healed health;Vida curada;治疗生命值;治療生命值
GAME OVER;FIM DO JOGO;游戏结束;遊戲結束
YOU'VE SURVIVED UNTIL {0}h{1};SOBREVIVESTE ATÉ ÀS {0}h{1};你已生存 {0}小时{1}分;你已生存 {0}小時{1}分
Restart;Recomeçar;重新开始;重新開始
Campsite;Acampamento;营地;營地
Stats;Estatísticas;数据统计;數據統計
NEW QUEST AVAILABLE;NOVA MISSÃO DISPONÍVEL;可接取新任务;可接取新任務
7 NEW QUESTS AVAILABLE;7 NOVAS MISSÕES DISPONÍVEIS;7个可接取新任务;7個可接取新任務
4 NEW QUESTS AVAILABLE;4 NOVAS MISSÕES DISPONÍVEIS;4个可接取新任务;4個可接取新任務
NEW STYLE;NOVO ESTILO;新风格解锁;新風格解鎖
Quit;Sair;退出游戏;退出遊戲
Graphics;Gráficos;图像设置;圖像設置
Augment History;Histórico de Aumentos;强化历史;強化歷史
Upgrade previous skills to unlock this one;Melhore habilidades anteriores para desbloquear;需要先升级前置技能才能解锁此项;需要先升級前置技能才能解鎖此項
Counter offer to <sprite name="Ember"> {0};Contra-oferta para <sprite name="Ember"> {0};对<sprite name="Ember"> {0}提出还价;對<sprite name="Ember"> {0}提出還價
You have <sprite name="Ember"> {0} in total;Tens <sprite name="Ember"> {0} no total;你总共拥有<sprite name="Ember"> {0};你總共擁有<sprite name="Ember"> {0}
#;;;
#;;;
#=========================== SKILLS ===========================#;;;
Counter Effect;Efeito de Contra-Ataque;反制效果;反制效果
On-Hit Effect;Efeito de Contacto;命中效果;命中效果
On-Death Effect;Efeito Mortal;死亡效果;死亡效果
On-Shoot Effect;Efeito de Disparo;射击效果;射擊效果
On-Land Effect;Efeito de Aterragem;落地效果;落地效果
Time-Based Effect;Efeito de Tempo;时间效果;時間效果
Special Effect;Efeito Especial;特殊效果;特殊效果
